team_key,team_number,wins,losses,ties
frc11065,11065,2,8,0
frc3245,3245,4,6,0
frc3637,3637,4,6,0
frc5985,5985,4,6,0
frc343,343,7,3,0
frc7763,7763,3,7,0
frc263,263,5,5,0
frc8020,8020,4,6,0
frc1671,1671,5,5,0
frc4270,4270,7,3,0
frc3928,3928,4,6,0
frc2169,2169,2,8,0
frc8808,8808,3,7,0
frc7250,7250,5,5,0
frc8873,8873,5,5,0
frc4499,4499,8,2,0
frc3707,3707,4,6,0
frc7717,7717,3,7,0
frc6090,6090,5,5,0
frc4907,4907,5,5,0
frc10633,10633,3,7,0
frc4476,4476,5,5,0
frc6238,6238,8,2,0
frc4122,4122,4,6,0
frc201,201,8,2,0
frc8429,8429,4,7,0
frc3277,3277,3,7,0
frc68,68,6,4,0
frc4089,4089,7,3,0
frc10101,10101,3,7,0
frc1678,1678,9,1,0
frc70,70,4,6,0
frc353,353,6,4,0
frc1771,1771,8,2,0
frc2200,2200,6,4,0
frc9635,9635,5,5,0
frc6002,6002,6,4,0
frc2333,2333,2,8,0
frc8158,8158,1,9,0
frc4905,4905,8,2,0
frc2630,2630,7,3,0
frc2481,2481,8,2,0
frc4915,4915,6,4,0
frc2846,2846,4,6,0
frc7039,7039,6,4,0
frc9140,9140,5,5,0
frc4421,4421,4,6,0
frc7426,7426,5,5,0
frc4362,4362,5,5,0
frc1640,1640,7,3,0
frc686,686,8,2,0
frc2974,2974,7,3,0
frc10604,10604,0,10,0
frc6989,6989,3,7,0
frc10950,10950,3,8,0
frc2122,2122,7,3,0
